85s	97o	T4s	K3o	J2s	54s	Q5o	64s	T3s	22	K2o	74s	76o	T2s	Q4o	J6o	84s	94s	86o	T6o	96o	53s	93s	Q3o	J5o	63s
0,463160	0,444204	0,440530	0,500000	0,398757	0,472219	0,403642	0,463337	0,297798	0,537606	0,468331	0,457567	0,451188	0,401848	0,399651	0,407217	0,450745	0,439194	0,443687	0,420038	0,431421	0,336205	0,300477	0,248552	0,407093	0,323723
0,435220	0,423421	0,413669	0,601243	0,500000	0,451067	0,605308	0,439623	0,410139	0,629066	0,707176	0,436734	0,431319	0,290463	0,604383	0,563021	0,423250	0,412666	0,419703	0,398172	0,409168	0,439036	0,412189	0,603440	0,532331	0,427594
0,641614	0,599577	0,650263	0,527781	0,548933	0,500000	0,653876	0,606080	0,555411	0,486539	0,521757	0,623134	0,595665	0,549962	0,646300	0,587418	0,632556	0,638944	0,595964	0,590218	0,596298	0,468192	0,552571	0,527398	0,647578	0,519731
0,328922	0,433003	0,400936	0,596358	0,394692	0,346124	0,500000	0,425763	0,399838	0,528525	0,592344	0,414564	0,434933	0,398677	0,440772	0,396943	0,407231	0,397473	0,429071	0,413729	0,420554	0,330074	0,399258	0,437966	0,257180	0,413729
0,604347	0,616583	0,661442	0,536663	0,560377	0,393920	0,574237	0,500000	0,563406	0,490980	0,530227	0,637520	0,636595	0,557574	0,658784	0,664153	0,646695	0,650123	0,646076	0,658308	0,662868	0,423437	0,560566	0,536280	0,576415	0,466933
0,434991	0,421296	0,528734	0,702202	0,589861	0,444589	0,600162	0,436594	0,500000	0,506204	0,559352	0,429003	0,427914	0,471702	0,600131	0,598818	0,422944	0,409006	0,421931	0,568234	0,407442	0,337836	0,299848	0,700861	0,601598	0,326660
0,509096	0,504365	0,497014	0,462394	0,370934	0,513461	0,471475	0,509020	0,493796	0,500000	0,328501	0,509193	0,510573	0,372636	0,467923	0,474422	0,497983	0,491719	0,497995	0,484801	0,491108	0,502266	0,491715	0,464347	0,473396	0,497867
0,463234	0,448654	0,444377	0,531669	0,292824	0,478243	0,407656	0,469773	0,440648	0,671499	0,500000	0,466240	0,460759	0,296310	0,403666	0,411232	0,450819	0,443041	0,443737	0,424053	0,435436	0,465763	0,442533	0,399594	0,411108	0,457295
0,614523	0,677786	0,674043	0,542433	0,563266	0,376866	0,585436	0,362480	0,570997	0,490807	0,533760	0,500000	0,571472	0,563080	0,673262	0,580354	0,659543	0,662724	0,597469	0,589226	0,595329	0,411615	0,568158	0,545271	0,583680	0,398503
0,583645	0,696179	0,577988	0,548812	0,568681	0,404335	0,565067	0,363405	0,572086	0,489427	0,539241	0,428528	0,500000	0,563657	0,558707	0,682002	0,569940	0,570117	0,684537	0,685341	0,687312	0,393630	0,566629	0,551906	0,566405	0,356288
0,434995	0,425234	0,531386	0,598152	0,709537	0,450038	0,601323	0,442426	0,528298	0,627364	0,703690	0,436920	0,436343	0,500000	0,601292	0,600500	0,422948	0,412458	0,421941	0,569751	0,410986	0,438007	0,411982	0,600349	0,602759	0,430397
0,455609	0,442116	0,300660	0,600349	0,395617	0,353700	0,559228	0,341216	0,399869	0,532077	0,596334	0,326738	0,441293	0,398708	0,500000	0,400929	0,316126	0,302277	0,435860	0,413750	0,429668	0,428209	0,403169	0,467898	0,400806	0,417222
0,421384	0,429993	0,402280	0,592783	0,436979	0,412582	0,603057	0,335847	0,401182	0,525578	0,588768	0,419646	0,317998	0,399500	0,599071	0,500000	0,409413	0,398722	0,306607	0,276442	0,291714	0,398750	0,400919	0,595072	0,409116	0,319841
0,557172	0,614721	0,687181	0,549255	0,576750	0,367444	0,592769	0,353305	0,577056	0,502017	0,549181	0,340457	0,430060	0,577052	0,683874	0,590587	0,500000	0,675635	0,572270	0,599915	0,605917	0,407894	0,574121	0,548158	0,593784	0,395070
0,433713	0,608076	0,700152	0,560806	0,587334	0,361056	0,602527	0,349877	0,590994	0,508281	0,556959	0,337276	0,429883	0,587542	0,697723	0,601278	0,324365	0,500000	0,420954	0,610505	0,573101	0,410407	0,473139	0,562482	0,604064	0,397642
0,435105	0,629425	0,586104	0,556313	0,580297	0,404036	0,570929	0,353924	0,578069	0,502005	0,556263	0,402531	0,315463	0,578059	0,564140	0,693393	0,427730	0,579046	0,500000	0,700232	0,702518	0,391454	0,573032	0,555014	0,572272	0,335401
0,412012	0,423084	0,432934	0,579962	0,601828	0,409782	0,586271	0,341692	0,431766	0,515199	0,575947	0,410774	0,314659	0,430249	0,586250	0,723558	0,400085	0,389495	0,299768	0,500000	0,284559	0,395950	0,391692	0,582251	0,587506	0,325727
0,406507	0,636280	0,592568	0,568579	0,590832	0,403702	0,579446	0,337132	0,592558	0,508892	0,564564	0,404671	0,312688	0,589014	0,570332	0,708286	0,394083	0,426899	0,297482	0,715441	0,500000	0,394553	0,426173	0,570298	0,580790	0,336033
0,659178	0,608726	0,598274	0,663795	0,560964	0,531808	0,669926	0,576563	0,662164	0,497734	0,534237	0,588385	0,606370	0,561993	0,571791	0,601250	0,592106	0,589593	0,608546	0,604050	0,605447	0,500000	0,649403	0,659074	0,663586	0,607187
0,439651	0,608843	0,624399	0,699523	0,587811	0,447429	0,600742	0,439434	0,700152	0,508285	0,557467	0,431842	0,433371	0,588018	0,596831	0,599081	0,425879	0,526861	0,426968	0,608308	0,573827	0,350597	0,500000	0,697662	0,602279	0,336519
0,464257	0,442151	0,438333	0,751448	0,396560	0,472602	0,562034	0,463720	0,299139	0,535653	0,600406	0,454729	0,448094	0,399651	0,532102	0,404928	0,451842	0,437518	0,444986	0,417749	0,429702	0,340926	0,302338	0,500000	0,404804	0,328444
0,332070	0,433661	0,399500	0,592907	0,467669	0,352422	0,742820	0,423585	0,398402	0,526604	0,588892	0,416320	0,433595	0,397241	0,599194	0,590884	0,406216	0,395936	0,427728	0,412494	0,419210	0,336414	0,397721	0,595196	0,500000	0,411552
0,616480	0,628181	0,608317	0,676277	0,572406	0,480269	0,586271	0,533067	0,673340	0,502133	0,542705	0,601497	0,643712	0,569603	0,582778	0,680159	0,604930	0,602358	0,664599	0,674273	0,663967	0,392813	0,663481	0,671556	0,588448	0,500000
0,629153	0,610649	0,669890	0,667951	0,564518	0,593049	0,606569	0,615402	0,662667	0,502658	0,537990	0,634739	0,603516	0,562494	0,671493	0,602668	0,657919	0,658640	0,607679	0,604511	0,604604	0,582616	0,653613	0,663229	0,605526	0,608191
0,439654	0,613565	0,625602	0,596267	0,706953	0,452878	0,601903	0,445266	0,625599	0,629796	0,701011	0,439760	0,441799	0,701603	0,597992	0,600764	0,425883	0,529513	0,426978	0,609991	0,575344	0,443875	0,528298	0,597943	0,603440	0,433649
0,626656	0,678885	0,618040	0,687134	0,575295	0,466428	0,597470	0,455422	0,685941	0,501920	0,546238	0,534183	0,576257	0,575109	0,593977	0,592387	0,615046	0,612569	0,609957	0,601259	0,607320	0,375730	0,676555	0,686033	0,595713	0,361405
0,682657	0,640454	0,586443	0,555639	0,574884	0,399694	0,683226	0,466777	0,580933	0,503230	0,548822	0,569175	0,670039	0,575030	0,561587	0,687969	0,575152	0,575671	0,678011	0,697993	0,683967	0,394567	0,572686	0,555215	0,680909	0,458115
0,464331	0,446600	0,442180	0,642553	0,294165	0,478626	0,563387	0,470156	0,438451	0,669516	0,753166	0,463402	0,457666	0,297651	0,535197	0,408943	0,451916	0,441365	0,445037	0,421764	0,433717	0,466146	0,440857	0,531669	0,408819	0,457678
0,454593	0,442775	0,303527	0,596897	0,493844	0,359708	0,640686	0,343604	0,398433	0,530156	0,592882	0,333058	0,439956	0,397272	0,744538	0,593405	0,319274	0,304905	0,434517	0,412516	0,428324	0,429252	0,401632	0,599186	0,559228	0,415044
0,565785	0,626712	0,627931	0,701678	0,588778	0,460737	0,604802	0,450020	0,699079	0,513091	0,561658	0,441651	0,443764	0,589081	0,600898	0,602620	0,535258	0,622749	0,577170	0,611948	0,617908	0,366308	0,689466	0,696645	0,605818	0,352230
0,696640	0,699949	0,592103	0,561880	0,578013	0,384544	0,698929	0,425108	0,586200	0,503009	0,552737	0,466061	0,596281	0,578165	0,571774	0,603683	0,584017	0,584225	0,620353	0,613215	0,618403	0,377425	0,580737	0,564973	0,692227	0,412701
0,660191	0,622930	0,610054	0,580760	0,678854	0,541773	0,686037	0,588676	0,606904	0,616637	0,676534	0,600577	0,619325	0,674062	0,583888	0,615143	0,603457	0,601373	0,620206	0,617943	0,619340	0,532524	0,601035	0,580377	0,679656	0,577125
0,524955	0,638719	0,600218	0,569381	0,592021	0,372820	0,710315	0,421529	0,592183	0,515116	0,569330	0,411009	0,438126	0,592173	0,577207	0,614567	0,465303	0,593154	0,597454	0,624163	0,629669	0,354296	0,587141	0,568081	0,707055	0,409042
0,566457	0,628387	0,626322	0,596344	0,704202	0,463717	0,602668	0,453489	0,622788	0,631744	0,701584	0,447589	0,450171	0,699078	0,599176	0,601008	0,535889	0,620756	0,577927	0,610336	0,616295	0,449885	0,619930	0,595247	0,603684	0,439658
0,339367	0,437030	0,473388	0,593030	0,614073	0,359586	0,740725	0,429417	0,470882	0,528226	0,589015	0,419252	0,441012	0,469724	0,599317	0,637278	0,408626	0,398036	0,431991	0,599849	0,422585	0,343619	0,400233	0,595319	0,737780	0,417384
0,337131	0,639166	0,606683	0,581646	0,603077	0,355173	0,725208	0,423377	0,606673	0,521960	0,577631	0,413149	0,437922	0,603128	0,583400	0,625945	0,402624	0,464585	0,428581	0,635431	0,598668	0,354080	0,463900	0,583366	0,722516	0,411780
0,463241	0,442809	0,436897	0,747580	0,497187	0,473645	0,641972	0,461543	0,302006	0,533732	0,596954	0,456486	0,446757	0,398215	0,641008	0,594754	0,450826	0,435981	0,443642	0,416514	0,428358	0,346935	0,304966	0,746256	0,562034	0,330832
0,628215	0,642385	0,620097	0,591747	0,693737	0,493597	0,598367	0,543101	0,616947	0,626891	0,689015	0,613690	0,662256	0,685238	0,594875	0,696229	0,616665	0,614138	0,665720	0,690301	0,679954	0,479794	0,613695	0,591364	0,600545	0,533746
0,678540	0,635781	0,687841	0,559449	0,575214	0,524994	0,693758	0,640053	0,581831	0,510783	0,553061	0,658709	0,630816	0,576321	0,683559	0,623483	0,668972	0,675923	0,631685	0,626420	0,632489	0,491854	0,578753	0,559025	0,687210	0,543300
0,638120	0,624856	0,684758	0,584516	0,682686	0,598041	0,620465	0,622453	0,607408	0,622253	0,680692	0,652322	0,616473	0,674570	0,687607	0,616564	0,658936	0,673469	0,616892	0,618406	0,618499	0,556901	0,605372	0,584133	0,619421	0,578392
0,454315	0,444115	0,524992	0,593508	0,614524	0,364543	0,636364	0,352370	0,496592	0,528266	0,589494	0,338653	0,444775	0,493836	0,740733	0,634937	0,324349	0,310219	0,436323	0,600553	0,429670	0,428140	0,401261	0,595798	0,637833	0,417866
0,463315	0,447259	0,440744	0,639101	0,525147	0,479670	0,643338	0,467979	0,437015	0,667565	0,749298	0,465159	0,456328	0,300518	0,642373	0,596498	0,450900	0,439828	0,443693	0,420529	0,432373	0,467190	0,439320	0,641390	0,563387	0,455501
0,638391	0,694872	0,629820	0,599314	0,703436	0,479755	0,609566	0,468750	0,626286	0,635288	0,699872	0,544286	0,583281	0,697839	0,606074	0,604484	0,626781	0,624350	0,622010	0,613356	0,619416	0,465923	0,623523	0,602151	0,607809	0,454920
0,631815	0,653811	0,699949	0,569062	0,587504	0,409450	0,609948	0,524991	0,590323	0,515396	0,562244	0,674329	0,675624	0,584420	0,697102	0,705151	0,684312	0,688039	0,686042	0,699043	0,704309	0,451109	0,587251	0,568638	0,612332	0,491069
0,462963	0,444149	0,557088	0,743775	0,618313	0,472533	0,637650	0,464364	0,525053	0,531842	0,593566	0,456535	0,451576	0,497179	0,637619	0,636223	0,450354	0,435610	0,445449	0,601902	0,429704	0,351770	0,310280	0,742451	0,639120	0,339599
0,637144	0,625394	0,642044	0,694255	0,686588	0,599585	0,621955	0,615554	0,686258	0,627912	0,684922	0,629691	0,618444	0,678472	0,621027	0,618575	0,632593	0,636134	0,618887	0,620418	0,619032	0,591709	0,673517	0,689161	0,620911	0,619953
0,642536	0,720291	0,713593	0,575302	0,590632	0,391744	0,621998	0,376056	0,598375	0,515133	0,566160	0,524991	0,604528	0,590339	0,712806	0,616516	0,698236	0,701683	0,633527	0,625570	0,631666	0,438516	0,595303	0,578396	0,619988	0,424986
0,587372	0,651982	0,727820	0,582804	0,604641	0,382429	0,629722	0,367022	0,604879	0,527199	0,582753	0,353024	0,452735	0,604869	0,724192	0,627400	0,524992	0,715670	0,605784	0,636946	0,642933	0,434565	0,601706	0,581504	0,630732	0,421327
0,463037	0,448599	0,560110	0,635712	0,751895	0,478557	0,639016	0,470801	0,556824	0,665645	0,745493	0,465208	0,461147	0,525147	0,638985	0,638158	0,450428	0,439457	0,445499	0,603646	0,433719	0,466077	0,438949	0,638002	0,640485	0,458323
0,460913	0,644618	0,741869	0,595069	0,615697	0,376415	0,640102	0,364242	0,619368	0,534001	0,591054	0,350525	0,452531	0,615824	0,739076	0,638779	0,336460	0,524992	0,443191	0,648215	0,607080	0,437240	0,498656	0,596789	0,641681	0,424066
0,697978	0,645570	0,626195	0,702324	0,587912	0,559188	0,711055	0,602058	0,700855	0,522975	0,566565	0,614976	0,642297	0,589018	0,607392	0,638254	0,619269	0,617010	0,645117	0,641191	0,642278	0,525052	0,687299	0,697436	0,704465	0,641702
0,467557	0,645407	0,653724	0,740977	0,616225	0,475522	0,638265	0,467354	0,741930	0,534066	0,591614	0,459525	0,456875	0,616352	0,634164	0,636513	0,453445	0,555057	0,450288	0,645949	0,607827	0,365111	0,525053	0,739084	0,639844	0,349769
0,644644	0,666241	0,636795	0,715867	0,600201	0,509867	0,622856	0,561060	0,712963	0,527545	0,575749	0,628846	0,683687	0,597117	0,619190	0,722406	0,632829	0,630511	0,706416	0,716256	0,705391	0,408768	0,702579	0,710979	0,625240	0,525052
0,657525	0,648009	0,708825	0,706806	0,591682	0,625717	0,644142	0,650380	0,701365	0,528293	0,570618	0,671554	0,639553	0,589522	0,712769	0,639851	0,696708	0,697050	0,644516	0,641655	0,641704	0,614657	0,691973	0,701917	0,643008	0,642864
0,467631	0,650634	0,655150	0,633761	0,749165	0,481547	0,639631	0,473791	0,655146	0,668245	0,742695	0,468198	0,466447	0,743614	0,635530	0,638448	0,453519	0,558079	0,450339	0,647885	0,609571	0,472167	0,556824	0,635481	0,641210	0,461640
0,655365	0,721373	0,647037	0,727631	0,603330	0,495196	0,634906	0,483835	0,726607	0,527240	0,579664	0,562652	0,610077	0,603037	0,631240	0,629425	0,643491	0,641274	0,646866	0,638479	0,644525	0,391032	0,716742	0,726682	0,632897	0,375409
0,597121	0,664841	0,657470	0,743394	0,617338	0,489218	0,642630	0,478149	0,740834	0,539264	0,596258	0,469488	0,467357	0,617566	0,638536	0,640309	0,564201	0,651999	0,611456	0,649855	0,655792	0,381717	0,730730	0,738060	0,643640	0,366375
0,699076	0,660750	0,638749	0,617120	0,718743	0,570446	0,728430	0,614888	0,635515	0,653581	0,716201	0,627888	0,656132	0,713903	0,620380	0,653105	0,631371	0,629564	0,657627	0,656042	0,657129	0,560556	0,629207	0,616695	0,721798	0,603074
0,597870	0,666814	0,655885	0,633959	0,746240	0,492699	0,640445	0,482170	0,652258	0,670311	0,743402	0,476157	0,474900	0,740928	0,636778	0,638692	0,564908	0,650021	0,612249	0,648238	0,654175	0,478522	0,649161	0,632659	0,641454	0,467995
0,667079	0,663189	0,725014	0,621174	0,722898	0,631504	0,658993	0,658459	0,636019	0,659646	0,720682	0,691033	0,653388	0,714412	0,730144	0,654702	0,697806	0,713198	0,654385	0,656506	0,656555	0,581157	0,633902	0,620749	0,657859	0,604498
0,657157	0,681421	0,649349	0,628918	0,735015	0,523964	0,635844	0,572389	0,646115	0,664872	0,729744	0,641758	0,704097	0,726011	0,632178	0,739739	0,645342	0,643065	0,707534	0,733548	0,722641	0,509816	0,642598	0,628494	0,638228	0,562388
0,667878	0,738631	0,659591	0,637021	0,745487	0,509293	0,647894	0,497932	0,655964	0,674108	0,741499	0,574052	0,618073	0,739654	0,644228	0,642413	0,656004	0,653828	0,659805	0,651467	0,657513	0,495115	0,652968	0,640115	0,645885	0,483757
0,666345	0,663728	0,671712	0,737113	0,727128	0,625268	0,660665	0,642803	0,726664	0,665767	0,725246	0,658190	0,655875	0,718643	0,659698	0,656944	0,661692	0,665486	0,656899	0,658747	0,657093	0,624741	0,713259	0,731850	0,659531	0,655889
