55	Q9o	98s	K5s	Q7s	J9o	A5o	T9o	A6o	K4s	K8o	Q6s	J7s	T7s	A4o	97s	K3s	87s	Q5s	K7o	44	Q8o	A3o	K2s	J8o	Q4s
0,702438	0,430861	0,484982	0,584844	0,441404	0,443745	0,654769	0,456566	0,641808	0,557113	0,667704	0,441427	0,453307	0,465147	0,653804	0,475780	0,525053	0,487750	0,437951	0,633882	0,696131	0,420501	0,760359	0,497203	0,433385	0,434285
0,663179	0,622531	0,459723	0,628871	0,628641	0,666681	0,610913	0,433672	0,597961	0,628047	0,600049	0,627856	0,624723	0,439453	0,609988	0,450002	0,627224	0,460099	0,630806	0,603572	0,657772	0,611102	0,609045	0,717381	0,639164	0,629983
0,810646	0,596038	0,631146	0,672961	0,612485	0,599042	0,679843	0,614959	0,589277	0,665457	0,586376	0,614431	0,615158	0,618378	0,671687	0,624344	0,555790	0,625015	0,668084	0,588240	0,600016	0,589944	0,537853	0,550341	0,592891	0,660862
0,683281	0,694401	0,478679	0,758707	0,646707	0,438657	0,752992	0,455871	0,635796	0,621100	0,631397	0,613547	0,443678	0,459291	0,610338	0,465098	0,617555	0,470287	0,524956	0,633951	0,549543	0,666468	0,606340	0,614011	0,424344	0,471341
0,664329	0,607465	0,644597	0,600904	0,626502	0,614715	0,584708	0,620018	0,679005	0,677019	0,600576	0,681933	0,630204	0,634425	0,668339	0,640412	0,564564	0,643131	0,600513	0,602961	0,611140	0,604143	0,546339	0,558732	0,608569	0,672424
0,658153	0,618215	0,461284	0,623916	0,623727	0,628507	0,605830	0,663633	0,596302	0,623912	0,599011	0,625942	0,633401	0,624345	0,605799	0,447760	0,712729	0,462083	0,625852	0,598600	0,653575	0,610064	0,707038	0,586712	0,620357	0,625848
0,815729	0,493206	0,534303	0,495077	0,502279	0,503700	0,475649	0,514204	0,469344	0,491858	0,474229	0,501088	0,511853	0,521435	0,472097	0,527289	0,488640	0,533671	0,496827	0,478744	0,810604	0,484671	0,468521	0,367437	0,495123	0,493608
0,704399	0,431851	0,485056	0,586267	0,445668	0,444735	0,656072	0,457557	0,643602	0,560134	0,668588	0,445273	0,457571	0,469411	0,655107	0,480045	0,556849	0,487824	0,441797	0,639110	0,698093	0,420558	0,654124	0,525147	0,433442	0,438131
0,664365	0,619762	0,659612	0,608789	0,693821	0,625549	0,593044	0,633326	0,583098	0,687101	0,611915	0,611158	0,690332	0,684676	0,682579	0,689106	0,570317	0,674310	0,611451	0,685135	0,620483	0,616440	0,554675	0,562400	0,622170	0,685830
0,531455	0,631932	0,668566	0,584473	0,705973	0,642708	0,564983	0,649347	0,693005	0,578964	0,624133	0,701868	0,717490	0,708283	0,558623	0,706491	0,573061	0,704291	0,587309	0,697071	0,519159	0,628928	0,551393	0,564632	0,639644	0,581799
0,659936	0,621944	0,461287	0,625120	0,628036	0,632236	0,606928	0,668119	0,597856	0,625116	0,599526	0,627634	0,637710	0,628805	0,606897	0,451596	0,624292	0,462086	0,627055	0,603048	0,655358	0,610579	0,605954	0,714181	0,620871	0,627051
0,697481	0,699623	0,487726	0,659229	0,648114	0,443078	0,649968	0,455899	0,637006	0,760333	0,633178	0,616033	0,447482	0,459322	0,754710	0,473728	0,621267	0,476681	0,582085	0,635162	0,679374	0,668208	0,610331	0,617722	0,428331	0,524992
0,555298	0,657378	0,476028	0,621441	0,656553	0,699865	0,601064	0,449181	0,747574	0,617896	0,636868	0,755385	0,655963	0,453571	0,597078	0,462447	0,614351	0,470948	0,623398	0,639428	0,545966	0,648272	0,593079	0,610806	0,673731	0,619853
0,664438	0,633429	0,703898	0,619790	0,615518	0,641690	0,601090	0,649701	0,591144	0,700570	0,697968	0,618327	0,624845	0,633606	0,693503	0,639253	0,577102	0,624498	0,618620	0,593561	0,629784	0,695858	0,558276	0,577099	0,692616	0,695592
0,664546	0,710165	0,656575	0,626637	0,625471	0,707052	0,612010	0,703003	0,602476	0,710393	0,597954	0,628175	0,635240	0,643907	0,708112	0,625763	0,588030	0,460391	0,628084	0,600958	0,638923	0,608551	0,573762	0,584578	0,618944	0,708317
0,535259	0,646314	0,722450	0,594381	0,623263	0,657118	0,571720	0,666228	0,704836	0,588478	0,710941	0,712403	0,633180	0,641278	0,564931	0,646545	0,580443	0,651262	0,593026	0,608885	0,522323	0,708881	0,555376	0,580433	0,721702	0,587123
0,538781	0,645005	0,469252	0,605852	0,644668	0,655639	0,584278	0,698485	0,731619	0,605842	0,624559	0,740504	0,654543	0,654406	0,584257	0,455701	0,602298	0,464495	0,607810	0,627547	0,534956	0,635962	0,580258	0,598753	0,646596	0,607800
0,538669	0,724220	0,685460	0,599767	0,633739	0,737176	0,581611	0,729799	0,720673	0,591732	0,613546	0,726172	0,643715	0,652124	0,572497	0,652814	0,591722	0,460987	0,601203	0,616675	0,522763	0,624457	0,572463	0,588177	0,635201	0,593168
0,827700	0,605695	0,640052	0,687892	0,625956	0,608699	0,695893	0,615464	0,603109	0,598653	0,600519	0,627903	0,628629	0,631849	0,584354	0,633250	0,677358	0,637544	0,682974	0,602071	0,661882	0,604086	0,684460	0,562372	0,607033	0,598262
0,664457	0,711342	0,657339	0,624969	0,623908	0,708187	0,610225	0,704096	0,600279	0,621435	0,599567	0,626123	0,633677	0,642344	0,606315	0,626486	0,710392	0,466713	0,626416	0,599283	0,654788	0,610163	0,708051	0,585054	0,620557	0,622882
0,699425	0,700503	0,487776	0,660570	0,649885	0,443118	0,651254	0,455939	0,638293	0,659725	0,638053	0,617445	0,451304	0,463144	0,650289	0,473777	0,761984	0,485747	0,584836	0,637017	0,693414	0,673431	0,756428	0,621511	0,432764	0,557104
0,680320	0,651726	0,479360	0,755130	0,650815	0,696423	0,749123	0,456031	0,631410	0,617896	0,630647	0,653185	0,652749	0,459552	0,606887	0,465780	0,614351	0,473741	0,753555	0,633635	0,546991	0,642051	0,602888	0,610806	0,670248	0,619853
0,672022	0,619893	0,655889	0,612625	0,639971	0,624376	0,596741	0,629679	0,695136	0,609475	0,614717	0,696820	0,643672	0,647894	0,593249	0,651704	0,688917	0,655657	0,612234	0,616791	0,663193	0,618284	0,681111	0,570761	0,622710	0,609084
0,830071	0,610407	0,650936	0,631226	0,627915	0,613411	0,621146	0,615932	0,604527	0,689375	0,605231	0,629373	0,630588	0,632291	0,697460	0,635308	0,681185	0,639580	0,630835	0,604011	0,826189	0,608799	0,688616	0,565926	0,611746	0,684457
0,666240	0,716202	0,658132	0,626173	0,628217	0,713007	0,611323	0,708874	0,601833	0,622639	0,600081	0,627815	0,637986	0,646653	0,607413	0,630946	0,622635	0,466716	0,627620	0,603732	0,656571	0,610678	0,607363	0,711844	0,621071	0,624086
0,672058	0,632190	0,671288	0,620510	0,708708	0,637977	0,605078	0,645754	0,595132	0,617360	0,626056	0,622879	0,705179	0,699482	0,601585	0,690101	0,698999	0,691871	0,623172	0,701224	0,662953	0,630581	0,695350	0,574429	0,636312	0,620022
0,637612	0,629468	0,660399	0,703103	0,641049	0,637238	0,693124	0,647817	0,703145	0,584554	0,622803	0,705167	0,644913	0,653802	0,572478	0,656297	0,579045	0,660736	0,698356	0,625421	0,528797	0,626464	0,565677	0,573142	0,631161	0,584123
0,701386	0,705369	0,487850	0,661995	0,654880	0,444108	0,652557	0,456929	0,640087	0,661150	0,638614	0,619227	0,455568	0,467408	0,651592	0,478042	0,660305	0,485821	0,586259	0,641972	0,695375	0,674315	0,650609	0,763668	0,432821	0,560126
0,694500	0,656526	0,488408	0,656024	0,652079	0,701645	0,646516	0,456059	0,632621	0,756756	0,632427	0,654449	0,654156	0,459583	0,750841	0,474409	0,618062	0,480135	0,657982	0,634846	0,676708	0,643831	0,606879	0,614518	0,671987	0,755181
0,672131	0,646379	0,704893	0,631511	0,627240	0,654639	0,613124	0,662650	0,603177	0,627978	0,714057	0,630048	0,636566	0,645328	0,609219	0,650929	0,712468	0,631453	0,630341	0,605594	0,662751	0,711906	0,706274	0,589128	0,708622	0,626808
0,648168	0,642747	0,675932	0,714094	0,718110	0,648542	0,708422	0,659147	0,606644	0,591132	0,634948	0,627416	0,714578	0,723752	0,581376	0,710560	0,585229	0,705889	0,712992	0,710033	0,532311	0,639743	0,574575	0,577194	0,645477	0,593968
0,844830	0,618824	0,649355	0,702877	0,639787	0,621828	0,711941	0,628593	0,617313	0,610433	0,613009	0,641431	0,642459	0,645680	0,596450	0,647081	0,607283	0,648895	0,697919	0,616276	0,669575	0,616577	0,592940	0,689256	0,619524	0,610042
0,658761	0,657129	0,726519	0,728793	0,632056	0,665592	0,720254	0,676028	0,615243	0,600647	0,723903	0,634930	0,641521	0,650430	0,587684	0,655615	0,592612	0,654449	0,723527	0,617838	0,535434	0,721801	0,578558	0,592602	0,718491	0,599292
0,672043	0,646887	0,705946	0,629519	0,628841	0,655147	0,610927	0,663158	0,601437	0,626369	0,715339	0,628544	0,638167	0,646929	0,607434	0,652531	0,622835	0,632206	0,628349	0,607270	0,662662	0,713146	0,603505	0,712468	0,709820	0,625199
0,679088	0,653958	0,482660	0,753202	0,653462	0,664542	0,747028	0,702247	0,634280	0,618011	0,633511	0,655832	0,663296	0,657745	0,607010	0,469109	0,614466	0,477903	0,751627	0,636500	0,547983	0,644915	0,603012	0,610922	0,655499	0,619968
0,669305	0,737140	0,686866	0,739390	0,642532	0,733965	0,736090	0,745880	0,627425	0,603900	0,622498	0,645296	0,652468	0,661276	0,595250	0,656082	0,603890	0,474395	0,737295	0,625627	0,535831	0,633410	0,595216	0,600346	0,644104	0,605336
0,696445	0,657008	0,488457	0,657366	0,653941	0,702525	0,647802	0,456099	0,633907	0,656520	0,637302	0,655790	0,655926	0,463405	0,646838	0,474459	0,758407	0,489201	0,659323	0,636702	0,690727	0,648706	0,752560	0,618307	0,677210	0,658478
0,679715	0,633022	0,667808	0,624405	0,653801	0,637505	0,608775	0,642808	0,711330	0,621255	0,627729	0,711765	0,657503	0,661724	0,605282	0,665534	0,618105	0,667392	0,624014	0,630995	0,670886	0,631297	0,601360	0,700815	0,635201	0,620864
0,858544	0,632244	0,659685	0,711220	0,640522	0,635298	0,720845	0,652474	0,625713	0,703466	0,622237	0,642431	0,643197	0,646555	0,710063	0,652480	0,582248	0,652854	0,706186	0,624285	0,634940	0,625898	0,569941	0,576739	0,628891	0,698718
0,835062	0,623538	0,651416	0,644757	0,641749	0,626543	0,635042	0,629063	0,618734	0,704364	0,614952	0,642904	0,644421	0,646124	0,713511	0,649142	0,610840	0,648547	0,644366	0,618218	0,843244	0,618519	0,596696	0,693088	0,621466	0,699407
0,690969	0,655775	0,489705	0,652038	0,651322	0,666360	0,642194	0,703081	0,632368	0,753239	0,631740	0,654086	0,661156	0,658477	0,747037	0,475736	0,614917	0,481881	0,653995	0,634159	0,674074	0,643144	0,603490	0,611373	0,653728	0,751664
0,698406	0,661087	0,488531	0,658791	0,658679	0,707390	0,649105	0,457090	0,635702	0,657946	0,637864	0,657737	0,660921	0,467670	0,648140	0,478723	0,657101	0,489275	0,660748	0,641656	0,692688	0,649267	0,647157	0,760091	0,678094	0,659903
0,679751	0,645319	0,683696	0,632290	0,723653	0,651106	0,617111	0,658882	0,607539	0,629140	0,639068	0,634659	0,720084	0,714347	0,613619	0,704926	0,625606	0,692884	0,634952	0,717377	0,670647	0,643594	0,609696	0,710897	0,649324	0,631802
0,699634	0,644493	0,673559	0,628901	0,655238	0,652263	0,620839	0,657537	0,720451	0,716093	0,637499	0,721279	0,659102	0,663195	0,707000	0,669140	0,591665	0,671700	0,628469	0,640117	0,647156	0,641160	0,579100	0,585762	0,645857	0,711345
0,692913	0,656257	0,489754	0,653379	0,653185	0,666841	0,643480	0,703961	0,633654	0,653375	0,636615	0,655427	0,663019	0,660248	0,643449	0,475785	0,754889	0,490947	0,655336	0,636015	0,688072	0,648018	0,748755	0,615162	0,658603	0,655333
0,836445	0,624077	0,651929	0,646299	0,646396	0,627081	0,636532	0,629601	0,620617	0,645476	0,619736	0,644935	0,649069	0,650772	0,635604	0,649655	0,705864	0,659502	0,645908	0,623002	0,831913	0,623303	0,715065	0,696990	0,626250	0,645085
0,699611	0,657772	0,689092	0,637275	0,734223	0,663567	0,629737	0,671509	0,619477	0,727084	0,649644	0,639808	0,730649	0,724774	0,722299	0,729963	0,597849	0,713893	0,640111	0,727298	0,657418	0,654439	0,587998	0,589814	0,660173	0,725981
0,699626	0,672154	0,745931	0,648980	0,644449	0,680617	0,638336	0,688818	0,628076	0,741783	0,741168	0,647322	0,653913	0,662781	0,734130	0,668366	0,605232	0,659962	0,647625	0,630671	0,667633	0,739024	0,591981	0,605222	0,735673	0,736516
0,694875	0,660337	0,489828	0,654804	0,657922	0,670921	0,644782	0,708827	0,635449	0,654801	0,637176	0,657374	0,667756	0,665242	0,644752	0,480049	0,653955	0,491021	0,656762	0,640969	0,690033	0,648580	0,643768	0,756573	0,659164	0,656758
0,699675	0,754371	0,694834	0,656162	0,654925	0,751154	0,650090	0,746938	0,640259	0,752380	0,635331	0,657689	0,664860	0,673627	0,749958	0,661706	0,616510	0,488449	0,657598	0,638460	0,677655	0,646243	0,608639	0,612965	0,656937	0,750285
0,877041	0,642652	0,669154	0,727450	0,654789	0,645706	0,738142	0,652955	0,640484	0,626613	0,637337	0,656697	0,657464	0,660822	0,620493	0,661950	0,716480	0,666092	0,722375	0,639057	0,697067	0,640998	0,723940	0,589436	0,643992	0,626182
0,699606	0,755584	0,695654	0,654493	0,653384	0,752325	0,648253	0,748068	0,637993	0,650866	0,637224	0,655626	0,663319	0,672086	0,644152	0,662485	0,752440	0,495512	0,655929	0,636764	0,689377	0,648136	0,749966	0,613494	0,658829	0,652302
0,707771	0,657914	0,685577	0,641370	0,669505	0,662671	0,633747	0,667945	0,737832	0,638137	0,652599	0,737468	0,673369	0,677462	0,630081	0,681157	0,729107	0,684938	0,640939	0,654888	0,698438	0,656261	0,720877	0,598459	0,660957	0,637706
0,872164	0,647838	0,680912	0,660179	0,656944	0,650892	0,659336	0,653425	0,642081	0,729076	0,642517	0,658331	0,659619	0,661266	0,739857	0,664445	0,720635	0,668567	0,659748	0,641223	0,875501	0,646178	0,728421	0,593207	0,649171	0,724001
0,701567	0,760817	0,696524	0,655918	0,658122	0,757516	0,649556	0,753217	0,639788	0,652291	0,637785	0,657573	0,668057	0,676824	0,645455	0,667479	0,652288	0,495586	0,657354	0,641719	0,691338	0,648697	0,645406	0,754124	0,659391	0,653727
0,707748	0,671193	0,701521	0,649745	0,750412	0,676988	0,642645	0,684930	0,632385	0,646511	0,664745	0,652278	0,746797	0,740881	0,638979	0,731021	0,740098	0,733340	0,652581	0,744637	0,698121	0,669539	0,736175	0,602511	0,675273	0,649347
0,707763	0,686145	0,746988	0,661450	0,656919	0,694608	0,651245	0,702808	0,640984	0,657823	0,758515	0,659792	0,666383	0,675252	0,647150	0,680795	0,754797	0,667935	0,660095	0,643579	0,697841	0,756329	0,747998	0,617919	0,752936	0,656468
0,895632	0,656810	0,678957	0,743761	0,669456	0,659864	0,755454	0,667113	0,655658	0,639167	0,650838	0,671048	0,672131	0,675489	0,633481	0,676618	0,635933	0,678193	0,738645	0,654237	0,705220	0,654499	0,629797	0,729527	0,657492	0,638736
0,707710	0,686712	0,748127	0,659471	0,658774	0,695175	0,648996	0,703376	0,639227	0,656238	0,759847	0,658335	0,668238	0,677107	0,645329	0,682650	0,652611	0,668765	0,658116	0,645551	0,697788	0,757620	0,641210	0,754891	0,754185	0,654883
0,877499	0,661995	0,681459	0,674530	0,671612	0,665049	0,674186	0,667583	0,657255	0,745387	0,653004	0,672682	0,674287	0,675934	0,757168	0,679113	0,639704	0,678121	0,674099	0,656403	0,894008	0,656665	0,633850	0,733682	0,659659	0,740271
0,715924	0,672072	0,698165	0,653924	0,684172	0,676829	0,646672	0,682103	0,755290	0,650691	0,666669	0,753739	0,688037	0,692129	0,643006	0,695825	0,647457	0,697451	0,653493	0,670068	0,706591	0,670331	0,638893	0,742154	0,674458	0,650259
0,715901	0,685351	0,714630	0,662299	0,766690	0,691145	0,655570	0,699087	0,645696	0,659065	0,678815	0,664832	0,763035	0,757078	0,651904	0,747177	0,655438	0,734438	0,665134	0,762061	0,706274	0,683609	0,647791	0,753145	0,689343	0,661901
0,879015	0,662540	0,681981	0,676241	0,676629	0,665594	0,675859	0,668127	0,659356	0,675396	0,658265	0,674915	0,679304	0,680952	0,674891	0,679635	0,747038	0,689955	0,675810	0,661658	0,874187	0,661926	0,758874	0,737913	0,664920	0,674965
